text,label
"The city of Pawtucket, Rhode Island, annually erected a Christmas display located in the city's shopping district. The display included such objects as a Santa Claus house, a Christmas tree, a banner reading ""Seasons Greetings,"" and a nativity scene. The creche had been included in the display for over 40 years. Daniel Donnelly objected to the display and took action against Dennis Lynch, the Mayor of Pawtucket.",1
"The case tested the principle of ""released time"", where public schools set aside class time for religious instruction. The Champaign County Board of Education authorized a program in which outside religious teachers hired by private third parties provided weekly religious instruction in public schools. The classes were not mandatory. McCollum, an atheist, complained that her son was ostracized for not attending the classes. McCollum eventually sued the school board in 1945, arguing that the religious instruction in the public schools violated the Establishment Clause of the First Amendment and the Equal Protection Clause of the Fourteenth Amendment.",1
"Bob Jones University was dedicated to ""fundamentalist Christian beliefs"" which included prohibitions against interracial dating and marriage. Such behavior would lead to expulsion. In 1970, the Internal Revenue Service (IRS) changed its formal policy to adopt a district court decision that prohibited the IRS from giving tax-exempt status to private schools engaging in racial discrimination. The IRS believed that the University's policies amounted to racism and revoked its tax-exempt status. The University claimed that the IRS had abridged its religious liberty. This case was decided together with Goldsboro Christian Schools Inc. v. United States, in which Goldsboro maintained a racially discriminatory admissions policy based upon its interpretation of the Bible, accepting for the most part only Caucasian students. The IRS determined that Goldsboro was not an exempt organization and hence was required to pay federal social security and unemployment taxes. After paying a portion of such taxes for certain years, Goldsboro filed a refund suit claiming that the denial of its tax-exempt status violated the U.S. Constitution.",0
"Under Public Law 86-392, the former Fort Apache Military Reservation is held in trust for the White Mountain Apache Tribe. The Tribe sued the federal government to rehabilitate the property, alleging that the United States had breached a fiduciary duty to maintain, protect, repair, and preserve it. In its motion to dismiss, the federal government argued that jurisdiction was lacking here because no statute or regulation could be read to impose a legal obligation on it to maintain or restore the trust property, let alone authorize compensation for breach. The Court of Federal Claims agreed and dismissed the complaint. In reversing, the Court of Appeals for the Federal Circuit concluded that the federal government's property use triggered a common-law trustee's duty to act reasonably to preserve any property the Secretary of the Interior chose to utilize, which also supported a money damages claim.",0
"Mr. and Mrs. Sereboff held a health insurance policy with Mid Atlantic Medical Services that was governed by the Employee Retirement Income Security Act of 1974 (ERISA). If a beneficiary is injured, Mid Atlantic pays for all covered medical expenses. However, the plan also has a provision that requires the beneficiaries to reimburse Mid Atlantic when an injury has been caused by a third party and the beneficiary receives compensation from that third party. In this case, the Sereboffs were injured in an automobile accident caused by a third party. After they settled their suit against that third party, Mid Atlantic filed suit in federal district court under section 502(a)(3) of ERISA to recover the money it had spent on medical expenses. 502(a)(3) provides that a health insurer may bring suit ""to obtain ... appropriate equitable relief ... to enforce ... the terms of the plan."" The Sereboff's objected, arguing that the sort of reimbursement provision at issue in this case was not ""equitable"" because the Sereboffs had not had the funds in their possession when they agreed to the plan. Both the district court and the Fourth Circuit Court of Appeals disagreed, siding with Mid Atlantic.",0
"Robert Sindermann had been a professor at Odessa Junior College for four years, working under one-year contracts. After his election as president of the Texas Junior College Teachers Association, he had several public disagreements with the Odessa Junior College Board of Regents. In May 1969, after the expiration of his teaching contract, Sindermann was not offered a new contract and terminated by the college's Board of Regents. While the Board of Regents did issue a press release accusing him of insubordination, they did not provide official reasons for his termination or the option of a hearing for him to challenge his termination. Sindermann filed suit in the United States District Court for the Western District of Texas. He alleged that his termination was due to his disagreements with the Board of Regents, a violation of his First Amendment right to free speech, and that the lack of a hearing violated his Fourteenth Amendment right to due process. The District Court ruled for the Board of Regents without a full trial. He appealed to the United States Court of Appeals for the Fifth Circuit, which held that his termination would have been unconstitutional if it was based on his exercise of free speech or if he had a reasonable expectation of continued employment. The Fifth Circuit remanded the case to the District Court.",0
"Natural Resources Defense Council along with other environmental groups object to the ""SOCAL"" exercises, scheduled to take place between February 2007 and January 2009. The groups felt the exercises would cause serious harm to various species of marine mammal present in the southern California waters. The groups sought a preliminary injunction to prevent the Navy from carrying out the exercises. The district court granted the injunction, finding that the NRDC had demonstrated probable success on its claim that the Navy had violated the National Environmental Policy Act by failing to prepare an Environmental Impact Statement (EIS) regarding the exercises. The district court also denied the efforts of the Council on Environmental Quality to provide ""alternative arrangements"" for the Navy to proceed without an EIS. The district court stated that such arrangements require ""emergency circumstances"" not applicable to the case The U.S. Court of Appeals for the Ninth Circuit agreed with the district court and upheld the decision granting the injunction. The court reviewed the findings under an ""abuse of discretion"" standard and determined that the district court had not abused its discretion in finding that the environmental groups raised substantial questions as to whether the exercises would have a significant impact on the environment and that these claims were likely to succeed on the merits. Furthermore, the district court had acted properly when it found that allowing long-planned, routine training exercises to meet the ""emergency circumstances"" exception would create an unacceptably broad definition of that phrase.",1
"Hanna Mining Company owned and operated a fleet of cargo vessels. While in negotiations for a new collecting bargaining agreement, several Hanna marine engineers expressed that they no longer wanted their union to represent them. Negotiations broke down, and the union picketed one of Hanna's ships. This made it impossible for workers to unload the ship. Hanna petitioned the National Labor Relations Board (NLRB) to stop the picketing. The NLRB dismissed the petition because the engineers were ""supervisors"" as defined by the National Labor Relations Act (NLRA) and could therefore not be ""employees."" The NLRA does not protect supervisors. Hanna then filed charges with the NLRB under the NLRA, alleging that the union induced a work stoppage through improper secondary pressure and engaged in improper organizational picketing. The NLRB dismissed the charges because the NLRA did not apply to unions that represent supervisors, and the union's conduct did not exceed the bounds of lawful picketing. Hanna sybsequently filed suit in the Wisconsin Circuit Court for Douglas County, requesting injunctive relief against further picketing and against any attempts by the union to force representation on Hanna's engineers. The Circuit Court dismissed the suit for lack of subject matter jurisdiction. The Wisconsin Supreme Court affirmed the decision because that while the picketing was illegal under Wisconsin State law, it arguably violated the NLRA and so fell within the exclusive jurisdiction of the NLRB.",1
"Earl Enmund and two codefendants were found guilty of the felony murder and robbery of Thomas and Eunice Kersey, an elderly couple. Enmund was the getaway driver, who waited in the car during the robbery, did not participate in the killing and had no idea anyone would be killed. Enmund argued that the evidence did not show any intent to kill, so the death penalty was cruel and unusual punishment. Despite this, the jury sentenced him to death along with his codefendants. The Supreme Court of Florida affirmed the conviction.",1
"A police officer stopped and searched Samson on the street in San Bruno, California. The officer had no warrant and later admitted he had stopped Samson only because he knew him to be on parole. The officer found that Samson was in possession of methamphetamines. Samson was arrested and charged with drug possession in state court. At trial Samson argued the drugs were inadmissible as evidence, because the search had violated his Fourth Amendment rights. The trial court denied the motion and the state supreme court declined to hear the case.",0
"The 1990 amendments to the Clean Air Act require that the Environmental Protection Agency (EPA) regulate electric utility steam generating units (EGUs) if it finds that such regulation was ""appropriate and necessary"" after conducting a utility study. In December 2000, the EPA issued a notice that such regulation was necessary based on the results of the utility study, which showed that the mercury emissions from EGUs were a threat to public health. In 2005, the EPA reversed its findings and determined that it was not ""appropriate and necessary"" to regulate coal-and oil-fired EGUs. States and other groups petitioned for review, and the U.S. Court of Appeals for the District of Columbia Circuit held that the EPA's attempt to reverse its findings was unlawful because it could not remove pollutant sources from the regulation list once they were on it. In 2012, the EPA confirmed that EGU regulation was necessary and promulgated emission standards. State, industry, and labor groups petitioned the appellate court for review of the EPA's interpretation of the ""appropriate and necessary"" requirement with respect to these regulations. The appellate court denied the petition.",1
"Roy R. Torcaso was appointed to the office of Notary Public by the Governor of Maryland, but he could not receive his commission to serve because he would not declare his belief in God as the Maryland Constitution required. He sued for his commission in the Maryland Circuit Court on the grounds that the requirement violated his First and Fourteenth Amendment rights. The circuit court rejected his claims and the Court of Appeals of the State of Maryland affirmed.",1
"Miller, after conducting a mass mailing campaign to advertise the sale of ""adult"" material, was convicted of violating a California statute prohibiting the distribution of obscene material. Some unwilling recipients of Miller's brochures complained to the police, initiating the legal proceedings.",1
"Percy Green, a black civil rights activist, was a mechanic working for the McDonnell Douglas Corporation, a St. Louis-based aerospace and aircraft manufacturer, from 1956 until August 28, 1964, when he was laid off. Green protested his discharge by saying that the company’s hiring and firing practices were racially motivated. As part of his protest, he and other members of the Congress on Racial Equality illegally parked their cars to block the main roads to the plant during the morning shift change. On July 2, 1965, there was a lock-in, in which workers were unable to leave, though the extent of Green’s involvement in this incident was unclear. On July 25, 1965, McDonnell Douglas Corporation advertised for qualified mechanics and Green reapplied, only to be turned down due to his involvement in the protests. Green filed a petition with the Equal Employment Opportunity Commission (EEOC) and alleged that he was denied his position because of his race and civil rights activism. The Commission did not make any finding on the racial bias charge, but did conclude that Green was denied his job upon reapplication due to his involvement in civil rights protests. When the situation could not be resolved outside the courts, Green sued McDonnell Douglas Corporation. The district court dismissed the racial discrimination charge and held that the McDonnell Douglas Corporation refused to rehire Green because of his participation in illegal demonstrations rather than legitimate civil rights issues. The U.S. Court of Appeals for the Eighth Circuit affirmed the holding that illegal protests were not protected activities but remanded the case to reconsider the racial discrimination charge.",1
